# Swiss Law Collection — all cantonal acts: instrument type × canton × enactment year × legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
instrument_type,canton,year,domain,count
anderes,GL,1970,sante,1
anderes,GR,1970,etat,1
anderes,LU,1970,etat,1
anderes,NE,1970,eco,1
anderes,NE,1970,educ,6
anderes,NE,1970,sante,1
anderes,SH,1970,etat,1
anderes,SO,1970,autres,1
anderes,SO,1970,educ,1
anderes,SO,1970,etat,2
anderes,VD,1970,educ,1
anderes,VD,1970,etat,1
anderes,VD,1970,infra,1
anderes,VS,1970,educ,1
anderes,VS,1970,infra,1
anderes,BE,1971,autres,1
anderes,BE,1971,fin,1
anderes,BE,1971,infra,1
anderes,BE,1971,sante,1
anderes,BS,1971,sante,1
anderes,FR,1971,educ,1
anderes,FR,1971,infra,1
anderes,FR,1971,sante,1
anderes,GL,1971,eco,1
anderes,GL,1971,educ,1
anderes,GL,1971,etat,1
anderes,GL,1971,fin,2
anderes,GL,1971,infra,1
anderes,GR,1971,autres,1
anderes,GR,1971,sante,1
anderes,LU,1971,autres,1
anderes,NE,1971,eco,1
anderes,NE,1971,etat,1
anderes,NE,1971,infra,3
anderes,NE,1971,sante,2
anderes,OW,1971,etat,1
anderes,SG,1971,educ,1
anderes,SG,1971,fin,1
anderes,SO,1971,autres,1
anderes,SO,1971,educ,6
anderes,SO,1971,etat,2
anderes,UR,1971,infra,1
anderes,VD,1971,etat,1
anderes,VD,1971,infra,1
anderes,ZG,1971,educ,1
anderes,ZH,1971,etat,1
anderes,ZH,1971,sante,1
anderes,AI,1972,etat,1
anderes,FR,1972,autres,2
anderes,FR,1972,educ,1
anderes,FR,1972,sante,1
anderes,GL,1972,autres,1
anderes,GL,1972,educ,2
anderes,GR,1972,educ,1
anderes,GR,1972,etat,1
anderes,GR,1972,infra,1
anderes,NE,1972,eco,1
anderes,NE,1972,fin,1
anderes,NE,1972,sante,5
anderes,OW,1972,etat,1
anderes,SH,1972,educ,1
anderes,SH,1972,sante,1
anderes,SO,1972,autres,3
