# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
AG,1975,0,0,1,1,0,0,0,2
AI,1975,0,0,0,0,0,0,1,1
BE,1975,0,1,4,0,0,0,0,5
BL,1975,0,1,0,0,1,1,0,3
BS,1975,1,1,3,0,1,0,0,6
FR,1975,0,0,0,0,0,0,1,1
GL,1975,0,0,0,0,2,0,0,2
GR,1975,0,1,1,1,0,0,0,3
LU,1975,1,0,0,0,0,0,3,4
NE,1975,0,0,0,19,0,0,0,19
NW,1975,0,0,0,1,0,0,0,1
OW,1975,1,0,0,1,0,0,0,2
SG,1975,1,1,0,4,0,0,0,6
SZ,1975,1,0,1,0,1,0,0,3
TG,1975,0,0,0,1,0,0,0,1
ZG,1975,0,0,0,0,0,0,1,1
ZH,1975,1,1,0,2,0,0,1,5
AG,1976,1,0,0,1,0,0,0,2
BE,1976,1,0,0,0,0,0,0,1
BL,1976,0,1,0,1,1,0,0,3
BS,1976,1,1,0,0,0,0,0,2
GL,1976,0,1,0,0,0,0,0,1
GR,1976,0,1,2,0,0,0,0,3
JU,1976,0,2,0,0,0,0,0,2
LU,1976,1,2,0,0,1,0,1,5
NE,1976,1,0,0,0,0,0,0,1
NW,1976,1,0,0,0,0,0,0,1
OW,1976,0,0,0,1,1,0,0,2
SG,1976,0,1,1,0,1,0,1,4
SH,1976,0,1,0,0,0,0,0,1
SO,1976,0,0,2,0,0,0,0,2
SZ,1976,0,0,0,1,0,0,0,1
TG,1976,1,1,0,1,0,0,0,3
TI,1976,0,1,0,0,0,0,0,1
VS,1976,0,0,0,0,0,3,0,3
ZH,1976,1,0,2,1,0,0,1,5
AG,1977,0,0,0,1,0,0,0,1
AI,1977,0,0,0,0,0,0,1,1
BL,1977,1,1,0,3,0,0,0,5
BS,1977,2,1,0,1,0,0,0,4
GR,1977,0,1,0,1,0,0,1,3
JU,1977,0,1,0,0,0,0,0,1
LU,1977,1,0,0,1,0,0,1,3
OW,1977,0,0,0,0,0,0,1,1
SG,1977,1,0,1,1,1,1,2,7
SH,1977,0,0,0,1,0,1,1,3
SO,1977,1,0,2,0,0,0,1,4
TG,1977,2,0,0,0,1,0,0,3
TI,1977,0,0,0,1,0,0,0,1
ZG,1977,1,0,0,2,0,0,0,3
ZH,1977,1,0,0,4,0,0,1,6
AG,1978,0,1,1,1,0,0,0,3
AI,1978,0,0,0,0,0,1,0,1
BE,1978,0,1,0,1,0,0,0,2
BL,1978,0,0,0,0,0,0,1,1
BS,1978,0,0,1,0,0,0,1,2
FR,1978,0,1,0,0,0,0,0,1
GL,1978,0,0,0,0,1,0,0,1
GR,1978,1,0,0,0,0,0,1,2
JU,1978,25,21,20,20,26,8,9,129
LU,1978,2,0,1,1,0,0,0,4
NE,1978,0,0,0,1,0,0,0,1
NW,1978,0,0,0,0,1,0,0,1
OW,1978,0,1,0,0,0,0,0,1
SG,1978,0,2,0,0,0,0,2,4
SH,1978,2,2,1,0,0,0,0,5
SO,1978,0,0,2,5,0,0,3,10
SZ,1978,0,1,0,0,0,0,0,1
TG,1978,1,0,0,0,0,0,1,2
TI,1978,0,1,0,0,0,0,0,1
ZH,1978,4,1,0,3,0,0,0,8
AG,1979,0,1,0,0,0,0,0,1
AI,1979,0,0,0,0,0,0,1,1
BE,1979,0,1,1,0,0,0,1,3
BL,1979,1,1,0,5,0,0,0,7
BS,1979,1,1,0,1,0,0,0,3
FR,1979,0,0,0,6,0,1,0,7
GL,1979,0,0,0,1,0,0,0,1
GR,1979,0,1,0,0,0,0,0,1
JU,1979,2,3,1,0,0,1,0,7
LU,1979,0,0,0,0,0,0,1,1
NE,1979,0,1,1,1,0,0,0,3
SG,1979,0,1,0,1,2,0,0,4
SH,1979,1,0,0,2,0,0,0,3
SO,1979,3,2,1,1,0,0,0,7
SZ,1979,0,0,0,1,0,0,0,1
