# Swiss Law Collection — cantonal acts of type 'Parliamentary ordinance (decree)' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AI,1943,Economie.Agriculture.Production animale.Commerce du bétail,1
AI,1946,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1947,Droit civil,1
AI,1951,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AI,1958,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Prêt,1
AI,1959,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
AI,1960,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pétrole",1
AI,1962,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",1
AI,1962,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Funiculaires, téléphériques, téléskis",1
AI,1966,"Santé, travail, droit des assurances sociales, logement, homes",1
AI,1968,Droit civil.Dispositions d'introduction du code civil.Droit de la famille.Tutelle,1
AI,1969,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AI,1970,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
AI,1973,"Enseignement, sciences, documentation et culture",1
AI,1973,"Economie.Arts et métiers.Services.Restauration, Etablissements publics.Camping",1
AI,1974,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Régale des sels",1
AI,1974,Economie.Arts et métiers.Services.Tourisme,1
AI,1976,Droit civil.Procédure civile.Entraide judiciaire,1
AI,1976,Droit pénal,1
AI,1976,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AI,1979,Etat,1
AI,1979,Non classé,1
AI,1980,Droit civil.Arbitrage,1
AI,1980,Non classé,1
AI,1981,"Défense nationale, protection de la population, police.Sécurité intérieure.Explosifs",1
AI,1981,Economie.Commerce.Surveillance des prix,1
AI,1983,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Dimanches et jours fériés",1
AI,1984,Etat.Autorités.Gouvernement et administration.Administration.Commissions,1
AI,1984,"Finances, Impôts, monopoles, entreprises d'état.Entreprises d'Etat.Banques cantonales",1
AI,1984,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection des animaux",1
AI,1986,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Bail à loyer et à ferme.Bail à ferme agricole,1
AI,1986,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
AI,1987,Droit civil,1
AI,1987,Droit civil.Dispositions d'introduction du code civil.Droits réels.Estimation officielle des immeubles,1
AI,1988,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Marché du travail.Lutte contre les crises, réserves de crise bénéficiant d'allégements fiscaux",1
AI,1989,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AI,1989,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Prestations complémentaires",1
AI,1989,Economie,2
AI,1991,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AI,1992,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AI,1992,"Santé, travail, droit des assurances sociales, logement, homes.Logement.Mesures d'encouragement à la construction de logements",1
AI,1992,"Santé, travail, droit des assurances sociales, logement, homes.Logement.Logement dans les zones de montagne",1
AI,1993,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AI,1993,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AI,1993,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
AI,1994,Etat.Dispositions générales.Etablissement et séjour.Etablissement et séjour des étrangers.asile,1
AI,1994,"Enseignement, sciences, documentation et culture",1
