# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1988,Etat.Autorités.Parlement.Election du parlement,1
AG,1988,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Orientation professionnelle",1
AG,1989,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Routes.Chemins pédestres et de randonnée",1
AG,1990,Etat.Dispositions générales.Etablissement et séjour.Etablissement et séjour des étrangers.asile,1
AG,1990,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection des animaux",1
AG,1990,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1990,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Inhumations, cimetières",1
AG,1991,Etat.Autorités.Gouvernement et administration.Emoluments administratifs,2
AG,1991,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AG,1991,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",1
AG,1991,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre le feu, pompiers",1
AG,1991,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Ramoneurs",1
AG,1991,"Finances, Impôts, monopoles, entreprises d'état",1
AG,1991,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,1992,Etat,1
AG,1992,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,1992,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1992,Economie.Agriculture.Droit foncier rural,1
AG,1993,Etat.Dispositions générales.Droit de cité,1
AG,1993,Droit pénal.Procédure pénale.Aide aux victimes d'infractions,1
AG,1993,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles moyennes supérieures, écoles des culture générale, écoles de degré diplôme",1
AG,1993,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Autorités scolaires",1
AG,1993,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
AG,1993,Economie.Agriculture.Droit foncier rural,1
AG,1993,Economie.Arts et métiers.Services.Jeux de hasard et loteries.Sport-Toto,1
AG,1994,Droit civil.Dispositions d'introduction du code civil.Droit de la famille.Tutelle,1
AG,1994,"Enseignement, sciences, documentation et culture",1
AG,1994,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur le revenu et la fortune / impôts sur les bénéfices et les capitaux.Impôt fédéral",1
AG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Remembrements",1
AG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Procédure",1
AG,1994,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1995,Etat.Dispositions générales.Publications officielles.Recueils de législation,1
AG,1995,Etat.Autorités.Parlement.Election du parlement,1
AG,1995,Etat.Autorités.Gouvernement et administration.Emoluments administratifs,2
AG,1995,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,1995,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1996,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.égalité entre hommes et femmes",1
AG,1996,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre le feu, pompiers",1
AG,1996,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Taxes",1
AG,1996,"Finances, Impôts, monopoles, entreprises d'état",2
AG,1996,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
AG,1996,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1997,Etat.Dispositions générales.Etablissement et séjour.Etablissement et séjour des étrangers.mesures de contrainte,1
AG,1997,"Enseignement, sciences, documentation et culture",1
AG,1997,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AG,1997,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Assurance scolaire",1
AG,1997,"Finances, Impôts, monopoles, entreprises d'état",2
AG,1997,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Forces hydrauliques",1
AG,1997,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Transport des personnes",1
AG,1997,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Denrées alimentaires, objets d'usage courant.Viandes.Abattoirs",1
AG,1997,Economie.Agriculture.Mesures d'encouragement,1
AG,1998,Etat.Dispositions générales.Information du public,1
AG,1998,Etat.Professions juridiques.Notaires.Légalisation,1
AG,1998,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",1
AG,1998,"Défense nationale, protection de la population, police.Sécurité intérieure.Armes et munitions",1
AG,1998,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,1998,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Impôts et taxes de la circulation",1
AG,1998,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1999,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Durée du travail, vacances, congés",1
AG,1999,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1999,Economie.Agriculture.Mesures d'encouragement,1
AG,1999,Economie.Arts et métiers.Services.Jeux de hasard et loteries.Fonds de loterie,1
AG,2000,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",3
AG,2000,Droit civil.Dispositions d'introduction du code civil.Droit des successions,1
AG,2000,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,2000,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Ecoles préparant à la maturité professionnelle",1
AG,2000,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Solutions transitoires",1
AG,2000,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AG,2000,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Classes spéciales",1
AG,2000,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",2
AG,2000,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Personnel",1
AG,2000,"Finances, Impôts, monopoles, entreprises d'état",2
AG,2000,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur le revenu et la fortune / impôts sur les bénéfices et les capitaux.Impôt à la source",1
AG,2000,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,2000,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection du paysage",1
AG,2000,Economie.Agriculture.Culture des plantes.Vignoble,1
AG,2000,Economie.Arts et métiers.Services.Jeux de hasard et loteries.Maisons de jeu,1
AG,2001,Etat.Autorités.Parlement.Indemnisation des parlementaires,1
AG,2001,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
AG,2001,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
