# Swiss Law Collection — cantonal acts of type 'Regulation' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
UR,1982,1,0,0,1,1,0,0,3
VD,1982,1,0,1,2,0,0,2,6
VS,1982,2,0,2,0,0,0,0,4
BS,1983,1,0,0,0,0,0,0,1
FR,1983,1,0,0,2,0,0,0,3
GE,1983,2,5,2,1,1,0,1,12
GL,1983,0,0,1,0,0,0,0,1
GR,1983,0,1,0,0,0,0,0,1
NE,1983,3,1,1,0,1,0,0,6
NW,1983,0,0,0,1,0,0,0,1
SG,1983,0,0,1,0,0,0,0,1
SO,1983,0,0,1,0,0,0,0,1
SZ,1983,0,0,1,0,0,0,0,1
UR,1983,2,3,1,0,0,0,1,7
VD,1983,2,2,1,0,1,0,0,6
VS,1983,0,0,0,0,2,0,0,2
ZH,1983,1,0,0,0,0,0,0,1
BL,1984,0,0,1,0,0,0,0,1
BS,1984,0,2,0,0,0,0,0,2
FR,1984,0,0,0,1,0,0,1,2
GE,1984,1,5,2,1,0,0,2,11
LU,1984,0,0,1,0,0,0,0,1
NE,1984,0,1,4,1,0,0,0,6
SG,1984,1,0,1,0,0,0,0,2
TI,1984,0,1,0,0,1,0,0,2
UR,1984,0,0,0,0,1,0,0,1
VD,1984,1,1,2,1,1,0,1,7
VS,1984,1,0,2,0,0,0,0,3
ZH,1984,0,0,2,0,0,0,0,2
BL,1985,0,1,0,0,0,0,0,1
BS,1985,0,0,1,0,0,0,0,1
FR,1985,0,1,0,0,1,0,0,2
GE,1985,3,1,1,0,0,2,1,8
JU,1985,2,0,1,0,0,0,0,3
NE,1985,0,0,1,0,1,0,0,2
SH,1985,0,0,1,0,0,0,0,1
TI,1985,1,1,0,1,1,0,1,5
UR,1985,2,0,1,0,0,0,1,4
VD,1985,0,1,0,1,3,0,0,5
VS,1985,0,0,2,0,0,0,0,2
ZG,1985,1,0,0,0,0,0,0,1
ZH,1985,1,0,1,0,0,0,0,2
FR,1986,1,0,2,1,1,0,3,8
GE,1986,5,2,2,4,2,0,0,15
GL,1986,1,0,0,0,0,0,0,1
JU,1986,1,0,0,0,1,0,0,2
LU,1986,0,0,0,0,0,0,1,1
NE,1986,0,1,0,1,0,0,0,2
