# Swiss Law Collection — laws without a plausible enactment date (correction template)
# fill corrected_enactment_date (YYYY-MM-DD) and correction_note (source/citation), then run: legalize-ch import-dates undated_laws.csv — corrections are applied to the law files as enactment_date_source: manual_import and improve the statistics on the next regeneration
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
entity,id,title,category_type,languages,raw_dates,enactment_date_source,reason,link,corrected_enactment_date,correction_note
FR,"150.7","Rechtshilfe zur Vollstreckung öffentlich-rechtlicher Ansprüche","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/150.7.md,,
FR,"151.0","Verwaltungsrechtspflege des Kantonsgerichts","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/151.0.md,,
FR,"151.3","Besoldung und Pensionen der Verwaltungsrichter","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/151.3.md,,
FR,"17.52","Information der Öffentlichkeit über die Tätigkeit des Staatsrats und","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/17.52.md,,
FR,"190.54","Religionsunterricht in der obligatorischen Schule","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/190.54.md,,
FR,"190.7","Heiligung der Sonn- und Feiertage","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/190.7.md,,
FR,"191.3.0","Theologische Fakultät","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/191.3.0.md,,
FR,"211.5.17","Vermögensanlage der Personalfürsorgeeinrichtungen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/211.5.17.md,,
FR,"212.2.28","Eheberatungsstelle","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/212.2.28.md,,
FR,"214.12.14","Mietzins der von Personen im Ausland erstellten Sozialwohnungen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/214.12.14.md,,
FR,"214.2.4","Steuer zum Ausgleich der Verminderung des Kulturlandes","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/214.2.4.md,,
FR,"214.2.5","Landwirtschaftliche Pacht","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/214.2.5.md,,
FR,"220.1","Ausführungsbestimmungen zum allgemeinen Teil des","Verordnung",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/220.1.md,,
FR,"222.4.1","Nichtlandwirtschaftlicher Pachtvertrag","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/222.4.1.md,,
FR,"232.2","Einfaches und rasches Verfahren im Bereich des unlauteren","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/232.2.md,,
FR,"261.12","Notariatspraktika und -examen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/261.12.md,,
