# Swiss Law Collection — cantonal acts of type 'Act' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
LU,1962,1,0,0,0,0,0,0,1
VD,1962,0,0,0,1,1,0,0,2
VS,1962,0,0,1,0,0,0,1,2
ZH,1962,0,2,0,0,0,0,0,2
AG,1963,0,1,0,0,0,0,0,1
AR,1963,0,0,1,0,0,0,0,1
BL,1963,0,0,1,0,0,0,0,1
BS,1963,0,1,1,0,0,0,0,2
FR,1963,0,0,0,0,0,1,0,1
GE,1963,2,0,0,0,0,0,0,2
GL,1963,0,1,0,0,0,0,0,1
GR,1963,0,0,0,0,1,0,0,1
NE,1963,1,0,0,0,0,0,0,1
SO,1963,1,0,1,0,0,0,0,2
TI,1963,1,0,0,0,0,0,0,1
VD,1963,0,0,1,0,0,1,0,2
VS,1963,0,0,1,0,0,0,0,1
ZH,1963,2,0,0,1,0,0,0,3
AG,1964,0,0,0,0,0,1,0,1
BE,1964,0,0,0,1,0,0,0,1
BS,1964,0,0,0,0,0,0,1,1
FR,1964,1,0,0,0,0,0,0,1
GE,1964,0,0,0,1,0,0,0,1
GL,1964,2,0,0,0,0,0,0,2
JU,1964,0,1,0,0,0,0,0,1
LU,1964,1,0,0,0,0,0,0,1
NE,1964,1,1,0,0,0,0,0,2
NW,1964,0,0,0,0,0,0,1,1
SG,1964,0,1,0,0,0,0,0,1
SH,1964,0,0,0,1,0,0,0,1
SO,1964,0,1,0,0,0,0,0,1
TI,1964,1,1,0,0,0,0,0,2
UR,1964,0,0,0,0,0,1,0,1
VD,1964,0,1,0,0,1,0,0,2
ZG,1964,1,0,0,0,0,0,0,1
AG,1965,0,0,0,1,0,0,0,1
AR,1965,0,1,0,0,0,0,0,1
