# Swiss Law Collection — intercantonal agreement memberships, computed: one occurrence per SIGNING canton per agreement (signed by 10 cantons -> 10 occurrences)
# signatories per agreement = cantons publishing the text in their collections + cantons named in any language version's title; no scaling, no external baseline
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
AG,1926,0,0,0,0,0,1,0,1
GL,1926,0,0,0,0,0,1,0,1
TG,1926,2,0,0,0,0,1,1,4
VD,1926,0,0,0,0,0,1,0,1
ZH,1926,2,0,0,0,0,2,1,5
AG,1927,0,0,0,1,0,0,0,1
SG,1927,0,0,0,1,0,0,0,1
SZ,1927,0,0,0,1,0,0,0,1
ZH,1927,0,0,0,1,0,0,0,1
SH,1928,0,0,0,0,0,1,0,1
BE,1929,0,0,0,1,0,0,0,1
SZ,1929,0,0,0,2,0,0,0,2
ZH,1929,0,0,0,1,0,0,0,1
SZ,1930,0,0,0,1,0,0,0,1
ZG,1930,0,0,0,1,0,0,0,1
ZH,1930,0,0,0,1,0,0,0,1
AG,1931,0,0,0,0,0,1,0,1
AR,1931,0,0,0,0,0,1,0,1
BE,1931,0,0,0,0,0,1,0,1
BL,1931,0,0,0,0,0,1,0,1
BS,1931,0,0,0,0,0,1,0,1
FR,1931,0,0,0,0,0,1,0,1
GE,1931,0,0,0,0,0,1,0,1
GL,1931,0,0,0,0,0,1,0,1
LU,1931,0,0,0,0,0,1,0,1
NE,1931,0,0,0,0,0,1,0,1
OW,1931,0,0,0,0,0,1,0,1
SG,1931,0,0,0,0,0,1,0,1
SH,1931,0,0,0,0,0,2,0,2
SO,1931,1,0,0,0,0,1,0,2
SZ,1931,0,0,0,1,0,0,0,1
TG,1931,0,0,0,0,0,2,0,2
UR,1931,0,0,0,0,0,1,0,1
VD,1931,0,0,0,0,0,1,0,1
VS,1931,0,0,0,0,0,1,0,1
ZG,1931,0,0,0,1,0,1,0,2
ZH,1931,0,0,0,1,0,1,0,2
SG,1933,0,0,0,1,0,0,0,1
SZ,1933,0,0,0,1,0,0,0,1
TG,1933,0,0,0,0,0,1,0,1
ZG,1933,0,0,0,0,0,1,0,1
ZH,1933,0,0,0,1,0,0,0,1
LU,1934,0,0,0,0,0,1,0,1
TG,1934,0,0,0,0,0,1,0,1
AG,1936,0,0,0,0,0,2,0,2
AI,1936,0,0,0,0,0,1,0,1
AR,1936,0,0,0,0,0,1,0,1
BE,1936,0,0,0,0,0,2,0,2
BL,1936,0,0,0,0,0,2,0,2
BS,1936,0,0,0,0,0,1,0,1
FR,1936,0,0,0,0,0,2,0,2
GE,1936,0,0,0,0,0,1,0,1
GL,1936,0,0,0,0,0,1,0,1
GR,1936,0,0,0,0,0,2,0,2
JU,1936,0,0,0,0,0,1,0,1
LU,1936,0,0,0,0,0,2,0,2
NE,1936,0,0,0,0,0,1,0,1
NW,1936,0,0,0,0,0,1,0,1
SG,1936,0,0,0,0,0,2,0,2
SZ,1936,0,0,0,1,0,0,0,1
UR,1936,0,0,0,0,0,1,0,1
VD,1936,0,0,0,0,0,1,0,1
VS,1936,0,0,0,0,0,1,0,1
ZG,1936,0,0,0,1,0,1,0,2
ZH,1936,0,0,0,1,0,2,0,3
AG,1937,0,0,0,2,0,0,1,3
AI,1937,0,0,0,1,0,0,0,1
AR,1937,0,0,0,2,0,0,0,2
BE,1937,0,0,0,2,0,0,0,2
BL,1937,0,0,0,2,0,0,0,2
BS,1937,0,0,0,2,0,0,1,3
FR,1937,0,0,0,1,0,0,0,1
GE,1937,0,0,0,1,0,0,0,1
GL,1937,0,0,0,2,0,0,0,2
GR,1937,0,0,0,1,1,1,0,3
JU,1937,0,0,0,1,0,0,0,1
LU,1937,0,0,0,1,0,0,2,3
NE,1937,0,0,0,1,0,0,0,1
NW,1937,0,0,0,1,0,0,1,2
OW,1937,0,0,0,1,0,0,1,2
SG,1937,0,0,0,1,0,1,1,3
SH,1937,0,0,0,1,0,0,0,1
SO,1937,0,0,0,2,0,0,0,2
SZ,1937,0,0,0,1,0,0,1,2
TG,1937,0,0,0,2,0,0,1,3
TI,1937,0,0,0,2,0,0,1,3
UR,1937,0,0,0,1,0,0,1,2
VD,1937,0,0,0,1,0,0,0,1
VS,1937,0,0,0,1,0,0,0,1
ZG,1937,0,0,0,1,0,0,1,2
ZH,1937,1,0,0,1,0,0,1,3
BL,1938,1,0,0,0,0,0,0,1
BS,1938,1,0,0,0,0,0,0,1
FR,1938,0,0,0,1,0,0,0,1
SG,1938,1,0,0,2,0,0,0,3
SZ,1938,0,0,0,4,0,0,0,4
TG,1938,1,0,0,0,0,0,0,1
VD,1938,0,0,0,2,0,0,0,2
ZH,1938,0,0,0,2,0,0,0,2
BS,1939,0,0,1,0,0,0,0,1
