# Swiss Law Collection — cantonal acts of type 'Other' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GL,1974,0,0,0,1,1,1,0,3
GR,1974,0,0,0,0,0,0,1,1
NE,1974,1,1,0,0,2,0,0,4
SG,1974,2,0,0,0,1,0,0,3
SH,1974,0,1,1,0,0,0,0,2
SO,1974,1,0,1,0,0,0,1,3
SZ,1974,0,0,3,0,0,0,0,3
TI,1974,0,1,0,0,0,0,0,1
UR,1974,0,0,0,1,0,0,0,1
VD,1974,1,0,0,1,0,0,0,2
ZH,1974,0,1,0,0,0,0,1,2
AG,1975,0,0,0,0,1,0,0,1
BL,1975,0,0,0,0,0,1,0,1
BS,1975,0,0,1,2,0,0,0,3
FR,1975,0,1,0,0,0,0,0,1
GL,1975,1,0,0,0,1,0,0,2
GR,1975,0,0,0,1,1,0,0,2
LU,1975,0,1,0,0,0,0,0,1
NE,1975,1,1,1,1,0,0,0,4
NW,1975,1,0,0,0,0,0,0,1
SH,1975,0,1,0,0,0,0,0,1
SO,1975,1,1,7,4,0,0,0,13
SZ,1975,2,0,3,0,0,0,1,6
VD,1975,1,0,0,0,0,0,0,1
ZG,1975,0,1,1,0,0,1,0,3
ZH,1975,1,0,0,0,0,0,0,1
AR,1976,0,0,0,1,0,0,0,1
BL,1976,2,1,0,0,0,0,0,3
GL,1976,1,0,1,1,0,0,1,4
GR,1976,0,0,1,0,0,0,0,1
NE,1976,1,2,0,0,4,0,0,7
SG,1976,1,0,2,0,0,0,0,3
SH,1976,1,1,0,0,0,0,0,2
SO,1976,2,0,5,0,1,0,0,8
SZ,1976,0,0,3,0,0,0,0,3
TI,1976,1,0,0,0,0,0,0,1
UR,1976,0,0,1,0,0,0,0,1
VD,1976,0,0,1,1,1,1,0,4
VS,1976,0,0,0,1,0,1,0,2
ZG,1976,0,0,4,0,0,0,0,4
ZH,1976,0,0,1,1,0,0,0,2
BL,1977,1,0,0,0,0,0,0,1
BS,1977,1,2,1,1,0,0,0,5
FR,1977,2,0,0,0,0,0,2,4
GL,1977,1,0,0,0,0,0,2,3
GR,1977,1,0,0,0,0,0,1,2
OW,1977,0,0,1,1,0,0,0,2
SG,1977,2,0,0,0,0,0,0,2
SH,1977,0,0,0,0,1,0,0,1
SO,1977,1,1,1,0,0,0,0,3
TG,1977,0,0,0,0,1,0,0,1
VD,1977,1,0,0,1,0,0,0,2
VS,1977,1,0,0,0,0,0,0,1
ZG,1977,0,0,0,1,0,0,0,1
BL,1978,0,1,0,0,0,0,0,1
BS,1978,0,0,1,1,0,0,0,2
FR,1978,0,0,0,1,0,1,0,2
GL,1978,3,0,0,2,0,0,0,5
JU,1978,1,1,0,1,1,0,1,5
NE,1978,0,1,11,0,0,0,0,12
NW,1978,0,0,0,0,1,0,0,1
SG,1978,0,0,0,0,0,1,0,1
SH,1978,1,0,0,0,0,0,2,3
SO,1978,2,1,4,10,0,0,1,18
SZ,1978,0,0,2,0,0,0,0,2
TG,1978,2,0,0,0,1,0,0,3
VD,1978,0,0,0,0,0,1,0,1
VS,1978,0,1,0,2,0,0,0,3
ZG,1978,1,0,0,0,0,0,0,1
AR,1979,1,0,0,0,0,0,0,1
BL,1979,0,2,0,0,0,0,0,2
FR,1979,0,1,2,3,0,0,0,6
GR,1979,0,0,1,0,0,0,0,1
LU,1979,0,0,0,1,0,0,0,1
NE,1979,1,1,1,11,0,1,1,16
NW,1979,0,2,0,0,0,0,0,2
OW,1979,1,0,1,0,0,0,0,2
SG,1979,1,0,0,0,0,0,0,1
SH,1979,0,0,0,0,0,0,1,1
SO,1979,1,0,3,2,1,0,1,8
ZH,1979,0,0,0,0,0,1,0,1
BL,1980,1,0,0,0,0,1,0,2
BS,1980,0,2,1,0,0,0,0,3
FR,1980,1,1,1,1,0,0,0,4
GL,1980,0,0,0,4,0,1,0,5
GR,1980,0,0,0,1,0,0,0,1
JU,1980,1,0,0,0,0,0,0,1
NE,1980,2,1,2,0,0,2,0,7
OW,1980,0,0,1,0,0,0,0,1
SG,1980,1,0,1,0,0,0,0,2
SO,1980,0,2,2,1,0,0,0,5
TG,1980,1,0,0,0,0,0,0,1
VS,1980,1,0,0,0,1,0,0,2
ZH,1980,2,2,0,0,0,0,0,4
AG,1981,0,0,0,1,0,0,0,1
BL,1981,0,2,0,0,0,0,0,2
BS,1981,0,0,2,1,0,0,0,3
FR,1981,1,0,1,4,0,0,0,6
GL,1981,2,0,1,2,0,0,0,5
GR,1981,0,0,0,0,0,0,1,1
JU,1981,2,0,0,0,0,0,0,2
LU,1981,1,0,0,0,0,0,0,1
NE,1981,6,0,7,0,0,0,0,13
NW,1981,0,0,0,0,1,0,1,2
SG,1981,1,0,0,0,0,0,0,1
SH,1981,0,0,2,0,0,0,0,2
SO,1981,0,0,0,2,1,0,1,4
VD,1981,0,0,0,1,0,0,0,1
VS,1981,1,0,0,1,0,0,0,2
ZH,1981,1,1,0,0,0,0,0,2
BL,1982,0,0,0,2,0,0,0,2
BS,1982,0,2,1,0,0,0,0,3
FR,1982,1,1,1,3,0,1,0,7
GE,1982,2,0,0,0,0,0,0,2
GL,1982,0,1,0,0,0,0,0,1
GR,1982,0,0,0,1,0,0,1,2
JU,1982,1,0,0,0,1,0,0,2
LU,1982,1,0,0,0,1,0,1,3
NE,1982,0,1,0,0,0,0,0,1
NW,1982,1,0,0,0,0,0,0,1
OW,1982,0,0,0,1,0,0,0,1
SH,1982,0,2,1,0,0,0,0,3
SO,1982,2,0,2,1,0,0,0,5
SZ,1982,0,0,1,0,0,0,0,1
TG,1982,0,1,0,0,0,0,0,1
TI,1982,0,0,0,1,0,0,0,1
UR,1982,0,0,0,2,0,0,0,2
VD,1982,0,0,0,0,0,1,0,1
VS,1982,0,1,0,1,1,0,0,3
ZH,1982,2,1,0,0,0,1,0,4
BL,1983,1,1,0,0,0,0,0,2
BS,1983,0,1,0,0,0,0,0,1
FR,1983,1,2,0,1,0,1,0,5
GL,1983,1,0,0,0,0,0,0,1
GR,1983,0,0,1,0,0,0,0,1
NE,1983,6,1,13,9,0,0,0,29
OW,1983,0,0,0,1,0,0,0,1
SG,1983,2,0,1,0,0,0,0,3
SH,1983,0,2,0,0,0,0,0,2
SO,1983,1,0,2,1,0,0,0,4
SZ,1983,0,0,1,1,0,0,0,2
TG,1983,1,0,0,0,0,0,0,1
VD,1983,1,0,0,1,0,0,2,4
VS,1983,0,0,0,1,0,0,0,1
ZH,1983,0,0,1,0,0,0,0,1
AR,1984,0,1,1,0,0,0,0,2
BE,1984,0,1,0,0,0,0,0,1
BL,1984,2,0,0,0,0,0,0,2
BS,1984,1,2,0,0,0,0,0,3
FR,1984,1,0,1,0,0,0,0,2
GL,1984,0,0,1,1,0,0,0,2
JU,1984,0,0,0,0,0,0,1,1
LU,1984,0,1,0,0,0,0,0,1
NE,1984,3,1,19,0,0,0,2,25
OW,1984,0,0,0,0,0,0,1,1
SG,1984,0,1,1,1,0,0,0,3
SH,1984,0,0,1,0,0,0,0,1
SO,1984,0,0,7,1,1,1,0,10
SZ,1984,0,0,1,0,0,0,0,1
TI,1984,1,0,0,0,0,0,0,1
VD,1984,0,0,0,1,0,0,1,2
VS,1984,1,1,0,1,0,0,0,3
