# Swiss Law Collection — cantonal acts of type 'Regulation' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
FR,1987,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection de la nature",1
FR,1988,Etat,2
FR,1988,"Enseignement, sciences, documentation et culture",1
FR,1989,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles moyennes supérieures, écoles des culture générale, écoles de degré diplôme",2
FR,1990,Etat,1
FR,1990,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Orientation professionnelle",1
FR,1990,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre les incendies",1
FR,1990,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Offices de conciliation",1
FR,1991,Etat.Autorités.Gouvernement et administration.Droit du personnel.Engagement,1
FR,1991,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
FR,1991,"Enseignement, sciences, documentation et culture",2
FR,1991,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Médecine scolaire, services psychologiques scolaires",1
FR,1991,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Personnel",1
FR,1991,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",1
FR,1991,"Santé, travail, droit des assurances sociales, logement, homes",1
FR,1992,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Cours supérieures, tribunaux fédéraux",1
FR,1992,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux administratifs, des assurances et des assurances sociales",1
FR,1992,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles supérieures de commerce, ecoles supérieures d'informatique",1
FR,1992,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
FR,1992,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Alcool",1
FR,1992,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
FR,1992,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
FR,1992,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Assurance maternité, contributions financières aux mères",1
FR,1992,Economie.Agriculture.Améliorations foncières,1
FR,1993,Droit pénal,1
FR,1993,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",1
FR,1993,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
FR,1993,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
