DATAFLOW,CANTON,DOMAIN,TIME_PERIOD,OBS_VALUE
SLC:DF_CONCORDATS(1.0),TG,eco,1943,1
SLC:DF_CONCORDATS(1.0),UR,eco,1943,1
SLC:DF_CONCORDATS(1.0),VD,eco,1943,1
SLC:DF_CONCORDATS(1.0),ZG,eco,1943,1
SLC:DF_CONCORDATS(1.0),ZG,etat,1943,1
SLC:DF_CONCORDATS(1.0),ZH,eco,1943,1
SLC:DF_CONCORDATS(1.0),AI,autres,1944,1
SLC:DF_CONCORDATS(1.0),SG,fin,1944,1
SLC:DF_CONCORDATS(1.0),SO,fin,1944,1
SLC:DF_CONCORDATS(1.0),SZ,fin,1944,1
SLC:DF_CONCORDATS(1.0),VD,autres,1944,1
SLC:DF_CONCORDATS(1.0),SG,fin,1945,1
SLC:DF_CONCORDATS(1.0),SZ,fin,1945,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1945,1
SLC:DF_CONCORDATS(1.0),SG,fin,1946,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1946,1
SLC:DF_CONCORDATS(1.0),ZG,fin,1947,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1947,2
SLC:DF_CONCORDATS(1.0),AI,fin,1948,1
SLC:DF_CONCORDATS(1.0),AR,fin,1948,1
SLC:DF_CONCORDATS(1.0),BL,educ,1948,1
SLC:DF_CONCORDATS(1.0),BL,etat,1948,1
SLC:DF_CONCORDATS(1.0),BL,fin,1948,1
SLC:DF_CONCORDATS(1.0),BS,educ,1948,1
SLC:DF_CONCORDATS(1.0),BS,etat,1948,1
SLC:DF_CONCORDATS(1.0),BS,fin,1948,1
SLC:DF_CONCORDATS(1.0),FR,fin,1948,1
SLC:DF_CONCORDATS(1.0),GE,fin,1948,1
SLC:DF_CONCORDATS(1.0),GL,fin,1948,1
SLC:DF_CONCORDATS(1.0),GR,fin,1948,1
SLC:DF_CONCORDATS(1.0),LU,fin,1948,1
SLC:DF_CONCORDATS(1.0),NW,fin,1948,1
SLC:DF_CONCORDATS(1.0),OW,etat,1948,1
SLC:DF_CONCORDATS(1.0),SG,fin,1948,1
SLC:DF_CONCORDATS(1.0),SH,fin,1948,1
SLC:DF_CONCORDATS(1.0),SO,fin,1948,1
SLC:DF_CONCORDATS(1.0),SZ,fin,1948,1
SLC:DF_CONCORDATS(1.0),TG,fin,1948,1
SLC:DF_CONCORDATS(1.0),VD,fin,1948,1
SLC:DF_CONCORDATS(1.0),VS,fin,1948,1
SLC:DF_CONCORDATS(1.0),ZG,etat,1948,1
SLC:DF_CONCORDATS(1.0),ZG,fin,1948,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1948,1
SLC:DF_CONCORDATS(1.0),BL,etat,1949,1
SLC:DF_CONCORDATS(1.0),BS,etat,1949,1
SLC:DF_CONCORDATS(1.0),BL,infra,1950,2
SLC:DF_CONCORDATS(1.0),BS,infra,1950,1
SLC:DF_CONCORDATS(1.0),FR,infra,1950,1
SLC:DF_CONCORDATS(1.0),LU,autres,1950,1
SLC:DF_CONCORDATS(1.0),SO,infra,1950,1
SLC:DF_CONCORDATS(1.0),AI,infra,1951,3
SLC:DF_CONCORDATS(1.0),AR,infra,1951,1
SLC:DF_CONCORDATS(1.0),BE,infra,1951,1
SLC:DF_CONCORDATS(1.0),GL,infra,1951,1
SLC:DF_CONCORDATS(1.0),GR,infra,1951,1
SLC:DF_CONCORDATS(1.0),LU,infra,1951,1
SLC:DF_CONCORDATS(1.0),NE,infra,1951,1
SLC:DF_CONCORDATS(1.0),NW,infra,1951,1
SLC:DF_CONCORDATS(1.0),SG,infra,1951,2
SLC:DF_CONCORDATS(1.0),SO,infra,1951,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1951,1
SLC:DF_CONCORDATS(1.0),VD,infra,1951,1
SLC:DF_CONCORDATS(1.0),VS,infra,1951,1
SLC:DF_CONCORDATS(1.0),ZG,infra,1951,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1951,1
SLC:DF_CONCORDATS(1.0),SO,etat,1953,1
SLC:DF_CONCORDATS(1.0),BL,etat,1954,1
SLC:DF_CONCORDATS(1.0),BS,etat,1954,1
SLC:DF_CONCORDATS(1.0),FR,autres,1954,1
SLC:DF_CONCORDATS(1.0),JU,autres,1954,1
SLC:DF_CONCORDATS(1.0),NW,autres,1954,1
SLC:DF_CONCORDATS(1.0),OW,autres,1954,1
SLC:DF_CONCORDATS(1.0),SG,autres,1954,1
SLC:DF_CONCORDATS(1.0),SG,infra,1954,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1954,1
SLC:DF_CONCORDATS(1.0),ZG,autres,1954,1
SLC:DF_CONCORDATS(1.0),ZG,fin,1954,1
SLC:DF_CONCORDATS(1.0),AG,infra,1955,1
SLC:DF_CONCORDATS(1.0),AI,eco,1955,1
SLC:DF_CONCORDATS(1.0),AR,autres,1955,1
SLC:DF_CONCORDATS(1.0),GR,fin,1955,1
SLC:DF_CONCORDATS(1.0),SG,fin,1955,1
SLC:DF_CONCORDATS(1.0),SH,infra,1955,1
SLC:DF_CONCORDATS(1.0),SZ,fin,1955,1
SLC:DF_CONCORDATS(1.0),TG,fin,1955,1
SLC:DF_CONCORDATS(1.0),ZG,fin,1955,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1955,2
SLC:DF_CONCORDATS(1.0),ZH,infra,1955,2
SLC:DF_CONCORDATS(1.0),BE,autres,1957,1
SLC:DF_CONCORDATS(1.0),SH,autres,1957,1
SLC:DF_CONCORDATS(1.0),SH,infra,1957,1
SLC:DF_CONCORDATS(1.0),VD,autres,1957,1
SLC:DF_CONCORDATS(1.0),VS,autres,1957,1
SLC:DF_CONCORDATS(1.0),ZG,autres,1957,1
SLC:DF_CONCORDATS(1.0),AG,infra,1958,1
SLC:DF_CONCORDATS(1.0),AI,infra,1958,1
SLC:DF_CONCORDATS(1.0),BL,infra,1958,1
SLC:DF_CONCORDATS(1.0),GR,fin,1958,2
SLC:DF_CONCORDATS(1.0),SG,infra,1958,2
SLC:DF_CONCORDATS(1.0),SH,infra,1958,1
SLC:DF_CONCORDATS(1.0),SO,infra,1958,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1958,2
SLC:DF_CONCORDATS(1.0),TG,fin,1958,1
SLC:DF_CONCORDATS(1.0),VD,infra,1958,2
SLC:DF_CONCORDATS(1.0),ZG,fin,1958,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1958,3
SLC:DF_CONCORDATS(1.0),BE,etat,1959,1
SLC:DF_CONCORDATS(1.0),BE,sante,1959,1
SLC:DF_CONCORDATS(1.0),BL,sante,1959,1
SLC:DF_CONCORDATS(1.0),BS,sante,1959,1
SLC:DF_CONCORDATS(1.0),LU,autres,1959,1
SLC:DF_CONCORDATS(1.0),NW,infra,1959,1
SLC:DF_CONCORDATS(1.0),NW,sante,1959,1
SLC:DF_CONCORDATS(1.0),SO,autres,1959,1
SLC:DF_CONCORDATS(1.0),SO,etat,1959,1
SLC:DF_CONCORDATS(1.0),SZ,sante,1959,1
SLC:DF_CONCORDATS(1.0),VD,fin,1959,1
SLC:DF_CONCORDATS(1.0),ZG,sante,1959,1
SLC:DF_CONCORDATS(1.0),BL,fin,1960,1
SLC:DF_CONCORDATS(1.0),GE,infra,1960,1
SLC:DF_CONCORDATS(1.0),NE,fin,1960,1
SLC:DF_CONCORDATS(1.0),NE,infra,1960,1
SLC:DF_CONCORDATS(1.0),SG,fin,1960,1
SLC:DF_CONCORDATS(1.0),SO,infra,1960,1
SLC:DF_CONCORDATS(1.0),VD,fin,1960,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1960,1
SLC:DF_CONCORDATS(1.0),BL,etat,1961,1
SLC:DF_CONCORDATS(1.0),BS,etat,1961,1
SLC:DF_CONCORDATS(1.0),SG,infra,1961,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1961,1
SLC:DF_CONCORDATS(1.0),BL,fin,1962,1
SLC:DF_CONCORDATS(1.0),BL,infra,1962,1
SLC:DF_CONCORDATS(1.0),SO,fin,1962,1
SLC:DF_CONCORDATS(1.0),SO,sante,1962,1
SLC:DF_CONCORDATS(1.0),BL,educ,1963,1
SLC:DF_CONCORDATS(1.0),BS,sante,1963,1
SLC:DF_CONCORDATS(1.0),SZ,fin,1963,1
SLC:DF_CONCORDATS(1.0),AR,autres,1964,1
SLC:DF_CONCORDATS(1.0),BE,eco,1964,1
SLC:DF_CONCORDATS(1.0),BL,eco,1964,1
SLC:DF_CONCORDATS(1.0),BL,educ,1964,1
SLC:DF_CONCORDATS(1.0),BS,eco,1964,2
